Isolate,Phylotype,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO285,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,71,1,0,1,1,0,0,0,0,0,0
YO286,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,1,0,1,1,1,0,0,0,0,0
YO047,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,1,0,1,0,0,0,0,0
YO281,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,0,0,0,1,0,0,0,0,0,0
YO308,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO266,IIB,1,0,0,1,1,0,0,1,6,0,0,0,1,5,0,68,1,0,1,1,1,0,0,0,0,0
YO307,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,74,1,0,0,0,0,0,0,0,0,0
YO227,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO269,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,1,1,0,0,0,0,0
YO264,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,0,0,0,0,0,0
YO248,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO224,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,1,0,0,0,0,0,0
YO064,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,0,1,0,0,0,0,0
YO268,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,4,0,65,1,0,0,0,0,0,0,0,0,0
YO284,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,0,0,0,0,0,0,0,0
YO351,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,1,1,1,0,0,0,0,0
YO350,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,65,1,0,0,0,0,0,0,0,0,0
YO265,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO271,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,4,0,70,1,0,0,1,1,0,0,0,0,0
YO012,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,1,1,1,0,0,0,0,0
YO353,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,63,0,0,1,1,1,0,0,0,0,0
YO180,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,0,1,0,0,0,0,0,0
YO205,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,1,1,0,0,0,0,0
YO238,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,0,1,1,0,0,0,0,0
YO339,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,67,0,0,1,1,1,0,0,0,0,0
YO208,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,0,0,0,0,0,0,0,0
YO225,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,0,0,0,0,0,0
YO045,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,0,0,0,0,0,0
YO044,IIB,1,0,0,1,1,0,0,0,8,0,0,0,1,5,0,63,0,0,1,1,1,0,0,0,0,0
YO362,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO087,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,69,0,0,0,1,1,0,0,0,0,0
YO114,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,0,0,0,0,0,0,0,0
YO116,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO115,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,1,1,1,0,0,0,0,0
YO048,IIB,1,0,0,0,1,0,0,0,6,0,0,0,1,5,0,64,0,0,1,1,1,0,0,0,0,0
YO126,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,0,0,1,1,1,0,0,0,0,0
YO125,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,1,1,1,0,0,0,0,0
YO219,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,0,1,1,0,0,0,0,0
YO206,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,0,0,0,0,0,0,0,0
YO196,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,73,1,0,1,1,1,0,0,0,0,0
YO235,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,72,0,0,0,1,0,0,0,0,0,0
YO233,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO215,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,0,0,0,0,0,0
YO073,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,0,0,0,0,1,0,0,0,0,0
YO336,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,6,0,61,1,0,2,1,1,0,0,0,0,0
YO214,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,74,1,0,1,1,1,0,0,0,0,0
YO300,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,73,1,0,1,1,1,0,0,0,0,0
YO243,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,76,1,0,1,1,1,0,0,0,0,0
YO305,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,0,1,0,0,0,0,0,0
YO345,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,72,1,0,1,1,1,0,0,0,0,0
YO121,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,1,0,1,1,1,0,0,0,0,0
YO337,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,6,0,64,1,0,1,1,1,0,0,0,0,0
YO120,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,72,0,0,0,1,1,0,0,0,0,0
YO322,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,66,0,0,1,1,1,0,0,0,0,0
YO294,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,1,0,0,0,0,0
YO315,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,0,0,0,1,1,0,0,0,0,0
YO298,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,73,1,0,0,1,1,0,0,0,0,0
YO252,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,4,0,71,1,0,1,1,1,0,0,0,0,0
YO311,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,1,0,0,0,0,0
YO060,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO310,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,1,1,0,0,0,0,0,0
YO327,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,1,1,1,0,0,0,0,0
YO299,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,0,0,0,0,0,0
YO282,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,0,0,0,0,0,0,0
YO319,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,0,1,1,0,0,0,0,0
YO290,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO071,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,4,0,75,1,0,0,1,1,0,0,0,0,0
YO313,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,2,1,1,0,0,0,0,0
YO198,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,1,1,0,0,0,0,0,0
YO291,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO355,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,65,1,0,2,1,1,0,0,0,0,0
YO063,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,1,1,1,0,0,0,0,0
YO022,IIB,1,0,0,1,0,0,0,0,3,0,0,0,1,3,0,36,1,0,0,1,1,0,0,0,0,0
YO031,IIB,1,0,0,1,0,0,0,0,3,0,0,0,1,3,0,38,0,0,2,0,1,0,0,0,0,0
YO204.filtered.nanopore,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,0,0,1,1,1,0,0,0,0,0
YO380.unfiltered.nanopore,IIB,2,0,0,0,1,0,0,0,6,0,0,0,1,4,0,69,1,0,0,1,1,0,0,0,0,0
YO292,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,1,1,0,0,0,0,0
YO296,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO325,IIB,2,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,1,0,1,1,1,0,0,0,0,0
YO295,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,1,0,0,0,0,0
YO314,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,62,0,0,0,1,1,0,0,0,0,0
YO231,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,74,1,0,0,1,0,0,0,0,0,0
YO127,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO348,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,70,0,0,1,1,1,0,0,0,0,0
YO249,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,74,1,0,1,1,1,0,0,0,0,0
YO338,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,66,1,0,1,1,1,0,0,0,0,0
YO288,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,6,0,69,1,0,0,1,1,0,0,0,0,0
YO280,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO276,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO275,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,0,1,0,0,0,0,0,0
YO326,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,1,1,0,0,0,0,0,0
YO274,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO278,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,0,0,0,0,0,0
YO289,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,1,1,0,0,0,0,0
YO297,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,0,1,1,0,0,0,0,0
YO320,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,0,0,1,0,0,0,0,0
YO244,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,74,1,0,1,1,0,0,0,0,0,0
YO257,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,76,1,0,1,1,1,0,0,0,0,0
YO201,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,1,1,0,0,0,0,0,0
YO234,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,72,1,0,0,0,1,0,0,0,0,0
YO209,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,0,1,1,0,0,0,0,0
YO216,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,74,1,0,1,1,0,0,0,0,0,0
YO309,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,1,1,0,0,0,0,0,0
YO368,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO242,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,0,1,0,0,0,0,0,0
