Isolate,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO171,0,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO346,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,2,1,1,0,0,0,0,0
YO096,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,73,0,0,0,1,0,0,0,0,0,0
YO331,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,66,0,0,0,1,0,0,0,0,0,0
YO050,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,2,0,0,0,0,0,0,0
YO220,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,1,1,0,0,0,0,0,0
YO253,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,0,1,0,0,0,0,0
YO052,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,1,1,1,0,0,0,0,0
YO213,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,0,1,0,0,0,0,0,0
YO046,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,0,0,0,1,0,0,0,0,0,0
YO065,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,1,0,0,0,0,0
YO239,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,0,1,1,0,0,0,0,0
YO197,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,73,1,0,0,1,0,0,0,0,0,0
YO200,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,74,1,0,1,1,1,0,0,0,0,0
YO207,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,0,1,1,0,0,0,0,0
YO211,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,73,1,0,0,0,1,0,0,0,0,0
YO242,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,0,1,0,0,0,0,0,0
YO368,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO309,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,1,1,0,0,0,0,0,0
YO216,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,74,1,0,1,1,0,0,0,0,0,0
YO209,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,0,1,1,0,0,0,0,0
YO234,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,72,1,0,0,0,1,0,0,0,0,0
YO201,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,75,1,0,1,1,0,0,0,0,0,0
YO257,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,76,1,0,1,1,1,0,0,0,0,0
YO244,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,74,1,0,1,1,0,0,0,0,0,0
YO320,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,0,0,1,0,0,0,0,0
YO297,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,0,1,1,0,0,0,0,0
YO289,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,1,1,0,0,0,0,0
YO278,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,0,0,0,0,0,0
YO274,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO326,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,1,1,0,0,0,0,0,0
YO275,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,0,1,0,0,0,0,0,0
YO276,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO280,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO288,1,0,0,1,1,0,0,0,6,0,0,0,1,6,0,69,1,0,0,1,1,0,0,0,0,0
YO338,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,66,1,0,1,1,1,0,0,0,0,0
YO249,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,74,1,0,1,1,1,0,0,0,0,0
YO348,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,70,0,0,1,1,1,0,0,0,0,0
YO127,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO231,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,74,1,0,0,1,0,0,0,0,0,0
YO314,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,62,0,0,0,1,1,0,0,0,0,0
YO295,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,0,1,1,0,0,0,0,0
YO325,2,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,1,0,1,1,1,0,0,0,0,0
YO296,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO292,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,1,1,0,0,0,0,0
YO380.unfiltered.nanopore,2,0,0,0,1,0,0,0,6,0,0,0,1,4,0,69,1,0,0,1,1,0,0,0,0,0
YO204.filtered.nanopore,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,0,0,1,1,1,0,0,0,0,0
YO031,1,0,0,1,0,0,0,0,3,0,0,0,1,3,0,38,0,0,2,0,1,0,0,0,0,0
YO022,1,0,0,1,0,0,0,0,3,0,0,0,1,3,0,36,1,0,0,1,1,0,0,0,0,0
YO063,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,1,1,1,0,0,0,0,0
YO355,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,65,1,0,2,1,1,0,0,0,0,0
YO291,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,71,1,0,0,1,0,0,0,0,0,0
YO198,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,1,1,0,0,0,0,0,0
