Isolate,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO226,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,0,0,0,1,1,0,0,0,0,0
YO365,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO335,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,67,1,0,1,1,1,0,0,0,0,0
YO230,1,0,0,1,1,0,0,0,6,0,0,0,1,6,0,70,1,0,0,0,0,0,0,0,0,0
YO360,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,74,1,0,0,1,0,0,0,0,0,0
YO358,1,0,0,1,1,0,0,0,6,0,0,0,1,4,0,70,1,0,0,0,1,0,0,0,0,0
YO352.unfiltered.nanopore,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,1,0,0,1,1,0,0,0,0,0
YO066.nanopore,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,66,1,0,0,1,1,0,0,0,0,0
YO199.nanopore,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,1,1,1,0,0,0,0,0
YO143.unfiltered.nanopore,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,66,1,0,0,1,1,0,0,0,0,0
YO172.nanopore,2,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO185.unfiltered.nanopore,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO017.unfiltered.nanopore,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,2,1,1,0,0,0,0,0
YO097.unfiltered.nanopore,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,72,0,0,1,1,0,0,0,0,0,0
YO361,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,74,1,0,0,1,1,0,0,0,0,0
YO356,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,1,1,1,0,0,0,0,0
YO369,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,0,0,0,0,0,0
YO113,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,0,0,0,1,0,0,0,0,0,0
YO317,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO316,2,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,0,0,1,1,1,0,0,0,0,0
YO347,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,73,1,0,1,1,0,0,0,0,0,0
YO069,1,0,0,1,1,0,0,0,6,0,0,0,1,6,0,73,1,0,0,1,1,0,0,0,0,0
YO070,2,0,0,1,1,0,0,0,6,0,0,0,1,4,0,68,0,0,0,1,0,0,0,0,0,0
YO370,1,0,0,1,1,0,0,0,6,0,0,0,1,6,0,67,1,0,0,1,1,0,0,0,0,0
YO166,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,0,1,0,0,0,0,0,0
YO203,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO232,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,77,1,0,1,0,0,0,0,0,0,0
YO321,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,1,0,0,0,1,0,0,0,0,0
YO237,1,0,0,1,1,0,0,0,6,0,0,0,1,6,0,71,1,0,0,1,0,0,0,0,0,0
YO293,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,0,0,0,0,0,0,0
YO287,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,70,1,0,1,0,1,0,0,0,0,0
YO241,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,77,1,0,0,1,0,0,0,0,0,0
YO210,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,77,1,0,1,1,1,0,0,0,0,0
YO258,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,1,1,1,0,0,0,0,0
YO250,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO251,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,74,1,0,0,1,0,0,0,0,0,0
YO019,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,78,1,0,0,1,0,0,0,0,0,0
YO184,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,1,1,0,0,0,0,0
YO002,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO129,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,0,1,0,0,0,0,0,0
