Isolate,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO119.nanopore,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,60,0,0
YO099.nanopore,1,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
YO102.unfiltered.nanopore,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,1,0,1,0,9,0,0,0,0
YO106,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,2,0,11,0,0,0,0
YO104,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,1,0,2,0,12,0,0,0,0
