Isolate,Region,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO351,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO350,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0
YO265,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO271,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO012,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO353,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,30,0,0,0,0,0,0,0,0,0,0
YO180,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,35,0,0,0,0,0,0,0,0,0,0
YO205,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO238,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,35,0,0,0,0,0,0,0,0,0,0
YO339,Chr,1,0,0,0,0,0,0,0,7,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO208,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO225,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO045,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO044,Chr,1,0,0,0,0,0,0,0,8,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO362,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0
YO087,Chr,1,0,0,0,0,0,0,0,7,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO114,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO116,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO115,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO048,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0
YO126,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO125,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO219,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO206,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO196,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO235,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO233,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO215,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO073,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO336,Chr,1,0,0,0,0,0,0,0,7,0,0,0,1,2,0,30,0,0,0,0,0,0,0,0,0,0
YO214,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO300,Chr,1,0,0,0,0,0,0,0,7,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO243,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO305,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO345,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO121,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO337,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0
YO120,Chr,1,0,0,0,0,0,0,0,7,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO322,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO294,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO315,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO298,Chr,1,0,0,0,0,0,0,0,7,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO252,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO311,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO060,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO310,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO327,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO299,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO282,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO319,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0
YO290,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO071,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO313,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,35,0,0,0,0,0,0,0,0,0,0
YO198,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO291,Chr,1,0,0,0,0,0,0,0,7,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO355,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,30,0,0,0,0,0,0,0,0,0,0
YO063,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO022,Chr,1,0,0,0,0,0,0,0,3,0,0,0,1,1,0,12,0,0,0,0,0,0,0,0,0,0
YO031,Chr,1,0,0,0,0,0,0,0,3,0,0,0,1,1,0,13,0,0,0,0,0,0,0,0,0,0
YO204,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO380,Chr,2,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO292,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO296,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO325,Chr,2,0,0,0,0,0,0,0,6,0,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0
YO295,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO314,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0
YO231,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO127,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO348,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO249,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO338,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0
YO288,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0
YO280,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO276,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO275,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO326,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO274,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO278,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO289,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO297,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO320,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO244,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO257,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,35,0,0,0,0,0,0,0,0,0,0
YO201,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO234,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO209,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,35,0,0,0,0,0,0,0,0,0,0
YO216,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,35,0,0,0,0,0,0,0,0,0,0
YO309,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO368,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO242,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO211,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO207,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
